PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,SurfaceTempK,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,PlanetDensity,HostStarLuminosity
,0.2342,7.49019,,,,0.777,0.795,,5100.0,0.7459852430555557,427577616202500.06
,0.27612,36.277108,,,,0.777,0.795,,5100.0,0.7459852430555557,427577616202500.06
,0.19866,17.460812,,,,0.777,0.795,,5100.0,0.7459852430555557,427577616202500.06
,0.156,3.21982106,,,,0.777,0.795,,5100.0,0.7459852430555557,427577616202500.06
,0.205,8.67888593,,,,1.0,1.0,0.0,5792.0,0.7459852430555557,1125418921885696.0
,0.146,4.02582254,,,,1.0,1.0,0.0,5792.0,0.7459852430555557,1125418921885696.0
,0.322,17.58752333,,,,0.96,0.95,0.03,5630.0,0.7459852430555557,906735856323025.0
,0.286,158.6853308,,,,0.98,1.01,-0.14,5867.0,0.7459852430555557,1208668212352336.8
,0.069,3.87595807,,,,1.01,1.01,0.05,5776.0,0.7459852430555557,1135406786682821.0
,0.194,1.95452434,,,,0.99,1.0,-0.03,5821.0,0.7459852430555557,1148128234489681.0
,0.328,105.6551369,,,,0.99,1.0,-0.03,5821.0,0.7459852430555557,1148128234489681.0
2.3,,2900.0,3.3,,,,,,,0.7459852430555557,1058782497621550.0
10.39,,5501.0,6.22,0.77,124.9,1.05,1.91,-0.13,5362.0,0.7459852430555557,3015601655669195.5
14.3,,4640.0,4.69,0.4,,,,,,0.7459852430555557,1058782497621550.0
0.5,1.407,4.3530135,0.05379,0.0,1203.3,1.187,1.559,0.0,5989.0,0.1795096135768603,3126867530023715.5
0.0087,,7.2825,0.0652,0.34,704.7,,,,5150.0,0.7459852430555557,1058782497621550.0
0.0097,,10.866,0.0852,0.38,615.3,,,,5150.0,0.7459852430555557,1058782497621550.0
10.3,,993.3,2.6,0.08,,2.3,8.5,-0.052,4979.0,0.7459852430555557,4.440239096940626e+16
,0.436,7.9725,0.03710232851,,,0.612,0.65,,4559.0,0.7459852430555557,182517739810630.03
,0.3419,2.4532,0.01420769609,,,0.612,0.65,,4559.0,0.7459852430555557,182517739810630.03
1.9,,354.8,1.2,0.094,,1.68,5.1,0.12,4967.0,0.7459852430555557,1.5831315069918404e+16
,0.237,9.69312032,,,,0.73,0.7,-0.16,4781.0,0.7459852430555557,256018326727985.25
2.89,,434.5,1.13,0.2,,1.02,0.95,0.09,5426.0,0.7459852430555557,782287459425364.9
